ID	USER_ID	TRACK_NAME	ARTIST	PLAYLIST_ID	PLAYLIST_NAME	GENRES
1963434	russwoods	Tonight Was a Disaster	Casiotone for the Painfully Alone	91610	Playlist 31233	Theme
1963435	russwoods	Sock Hop	All-Time Quarterback	91610	Playlist 31233	Theme
1963436	russwoods	Jenny Not Any Dots	Bunnygrunt	91610	Playlist 31233	Theme
1963437	russwoods	A Nervous Tic Motion of the Head to the Left	Andrew Bird	91610	Playlist 31233	Theme
1963438	russwoods	Australiopithicus	Modest Mouse	91610	Playlist 31233	Theme
1963439	russwoods	You and Me Honey	Those Eskimos	91610	Playlist 31233	Theme
1963440	russwoods	Who's the Boss?	Chugga Chugga	91610	Playlist 31233	Theme
1963441	russwoods	Sweepstakes Prize	Mirah	91610	Playlist 31233	Theme
1963442	russwoods	Sorry Entertainer	Daniel Johnston	91610	Playlist 31233	Theme
1963443	russwoods	Jenny	The Mountain Goats	91610	Playlist 31233	Theme
1963444	russwoods	Go Fish	Cub	91610	Playlist 31233	Theme
1963445	russwoods	Cyanide Breath Mint	Beck	91610	Playlist 31233	Theme
1963446	russwoods	I Know Someone Who Knows Someone Who Knows Alan McGee Quite Well	The Pooh Sticks	91610	Playlist 31233	Theme
1963447	russwoods	Scene from a Famous Movie	Unbunny	91610	Playlist 31233	Theme
1963448	russwoods	My Generation	Spoonboy	91610	Playlist 31233	Theme
1963449	russwoods	The Worst I'd Ever Do	Half Japanese	91610	Playlist 31233	Theme
1963450	russwoods	Loose Lips	Kimya Dawson	91610	Playlist 31233	Theme
1963451	russwoods	Transatlantic Telephone Call	Lois	91610	Playlist 31233	Theme
1963452	russwoods	Not on Top	Herman Dune	91610	Playlist 31233	Theme
1963453	russwoods	Bang the Drum	Railroad Jerk	91610	Playlist 31233	Theme
1963454	russwoods	Turn it My Way	The Halo Benders	91610	Playlist 31233	Theme
1963455	russwoods	8 Great Ways	Tullycraft	91610	Playlist 31233	Theme
1963456	russwoods	That Kind of Music	Jonathan Richman	91610	Playlist 31233	Theme
1963457	russwoods	Ghost Dream	Matty Pop Chart	91610	Playlist 31233	Theme
1963458	russwoods	Together Forever in Love	Go Sailor	91610	Playlist 31233	Theme
1963459	russwoods	I Still Like You	Dinosaurs, Baseball and Hopscotch	91610	Playlist 31233	Theme
1963460	russwoods	Flashes & Cables	Centro-matic	91610	Playlist 31233	Theme
1963461	russwoods	Her Father and Her	Adam Green	91610	Playlist 31233	Theme
1963462	russwoods	I Pulled it Over My Eyes	Bobby Birdman	91610	Playlist 31233	Theme
1963463	russwoods	Natural Chapel	Little Wings	91610	Playlist 31233	Theme
1963464	russwoods	Down, Out and Away	Strip Squad	91610	Playlist 31233	Theme
1963465	russwoods	I Hate Vermont	The Smittens	91610	Playlist 31233	Theme
1963465	russwoods	I Hate Vermont	The Smittens	14000	Playlist FORTEST	Theme
1963468	russwoods	The Promise	When in Rome	14000	Playlist FORTEST	Mixed Genre
